sample_id,node_id,target_start,horizon,observed_hours,stored_y_true,recomputed_window_mean,absolute_difference,match_tolerance_1e-5
4567132,N044,2026-02-26 02:00:00,6,6,77.08333587646484,77.08333333333333,2.5431315151536182e-06,True
4567340,N044,2026-02-28 06:00:00,6,6,68.68055725097656,68.68055555555556,1.6954210053654606e-06,True
4672140,N045,2026-02-19 00:00:00,6,6,77.41666412353516,77.41666666666667,2.5431315151536182e-06,True
4672344,N045,2026-02-21 03:00:00,6,6,76.41666412353516,76.41666666666667,2.5431315151536182e-06,True
4672688,N045,2026-02-24 17:00:00,6,5,67.0999984741211,67.1,1.5258789005656581e-06,True
4777924,N046,2026-02-20 00:00:00,6,6,88.0,88.0,0.0,True
4778180,N046,2026-02-22 16:00:00,6,5,79.4000015258789,79.4,1.5258789005656581e-06,True
4778452,N046,2026-02-25 12:00:00,6,6,89.0,89.0,0.0,True
4884136,N047,2026-02-25 11:00:00,6,5,66.96666717529297,66.96666666666667,5.086263001885527e-07,True
4884420,N047,2026-02-28 10:00:00,6,6,65.29166412353516,65.29166666666667,2.5431315151536182e-06,True
5095084,N049,2026-02-21 00:00:00,6,6,52.05555725097656,52.05555555555555,1.695421012470888e-06,True
5201140,N050,2026-02-24 20:00:00,6,6,44.02777862548828,44.02777777777777,8.477105097881577e-07,True
5306616,N051,2026-02-22 15:00:00,6,6,60.0,60.0,0.0,True
5306852,N051,2026-02-25 02:00:00,6,6,78.0,78.0,0.0,True
