model,fold,horizon,forecast_origin,n,MAE,RMSE,sMAPE
XGBoost,3,1,2026-02-02 16:00:00,35,0.3814087640671503,0.5989317937866797,0.6354579578733577
XGBoost,3,1,2026-02-02 17:00:00,35,0.6640525817871094,1.5774580376121914,1.319214032422432
XGBoost,3,1,2026-02-02 18:00:00,46,1.3877357538195623,2.0947721973089837,1.6536713773101317
XGBoost,3,1,2026-02-02 19:00:00,48,0.6627562046051027,0.9941265811799547,0.8171653076870798
XGBoost,3,1,2026-02-02 20:00:00,50,1.555632900661892,2.8882199236936565,1.9998942250809344
XGBoost,3,1,2026-02-02 21:00:00,45,0.9066599527994793,2.0906454360424958,1.129480059891461
XGBoost,3,1,2026-02-02 22:00:00,38,0.4061981000398335,0.8817200858141255,0.5801222847082502
XGBoost,3,1,2026-02-02 23:00:00,34,0.22546087526807598,0.3941604069144185,0.2893771925834705
XGBoost,3,1,2026-02-03 00:00:00,33,0.8499821749600497,2.5338119496188583,1.027126412475408
XGBoost,3,1,2026-02-03 01:00:00,34,0.18469324298933443,0.3119548023074021,0.23675849591645087
XGBoost,3,1,2026-02-03 02:00:00,35,0.19036443801153272,0.31155584967028677,0.24501484932754752
XGBoost,3,1,2026-02-03 03:00:00,45,0.22017446447301792,0.4317665676622147,0.289308508423151
XGBoost,3,1,2026-02-03 04:00:00,47,0.4793398431006898,1.0299704263201452,0.6860177748400623
XGBoost,3,1,2026-02-03 05:00:00,49,0.8074301894830198,1.6640807704530123,1.459874446854411
XGBoost,3,1,2026-02-03 06:00:00,47,0.3607852746408882,0.6850576342666201,0.5891709083182298
XGBoost,3,1,2026-02-03 07:00:00,35,0.40735397338867185,0.7012953347074729,0.8308595524640826
XGBoost,3,1,2026-02-03 08:00:00,47,0.7189832827159981,1.191374023738725,1.0410138910090536
XGBoost,3,1,2026-02-03 09:00:00,35,1.1203043619791668,2.0934394013250897,1.3967441302936923
XGBoost,3,1,2026-02-03 10:00:00,35,1.1992425827752977,2.3944860824563583,1.7735536413893185
XGBoost,3,1,2026-02-03 11:00:00,46,0.7274560237276381,1.1581756027075611,1.059089422625378
XGBoost,3,1,2026-02-03 12:00:00,48,3.55384545856052,6.139123400679651,4.32302719927698
XGBoost,3,1,2026-02-03 13:00:00,39,0.4428663009252304,0.787977297280065,0.625115881052741
XGBoost,3,1,2026-02-03 14:00:00,46,0.8716535798593423,1.6045381621830674,1.1354837721295814
XGBoost,3,1,2026-02-03 15:00:00,36,1.5205792321099176,2.763605909787917,2.0717019427596854
XGBoost,3,1,2026-02-03 16:00:00,35,0.7371978759765625,1.0927760429956517,1.2888459049523675
XGBoost,3,1,2026-02-03 17:00:00,33,0.8835988670888573,1.3219217443422924,1.1507832282028887
XGBoost,3,1,2026-02-03 18:00:00,44,1.0868277116255327,1.439739689214906,1.3777141507326485
XGBoost,3,1,2026-02-03 19:00:00,35,1.172611563546317,1.420155113002213,1.4773784856078944
XGBoost,3,1,2026-02-03 20:00:00,49,1.2569661475633547,2.336389021433884,1.4939027874897162
XGBoost,3,1,2026-02-03 21:00:00,48,1.7239931954277885,2.9221972216987884,2.342592656211965
XGBoost,3,1,2026-02-03 22:00:00,34,0.44811327317181754,0.9311047239904335,0.6522621800596666
XGBoost,3,1,2026-02-03 23:00:00,48,0.19330528047349718,0.4019253026623848,0.2708573204052579
XGBoost,3,1,2026-02-04 00:00:00,48,0.13164851400587294,0.23253740536184386,0.1588529345462839
XGBoost,3,1,2026-02-04 01:00:00,46,0.07189991163170856,0.10818517410925163,0.08368362095127295
XGBoost,3,1,2026-02-04 02:00:00,48,0.0858561462826199,0.14117483188763402,0.0992561929175688
XGBoost,3,1,2026-02-04 03:00:00,45,0.16746916594328703,0.3199639376014381,0.18853952494351162
XGBoost,3,1,2026-02-04 04:00:00,44,0.3019039173318882,0.48935738749287666,0.35088041557923844
XGBoost,3,1,2026-02-04 05:00:00,48,0.7001379595862498,1.6237773130967315,1.348362103215565
XGBoost,3,1,2026-02-04 06:00:00,45,1.2776694686324508,2.6535971781651893,1.6014931646671982
XGBoost,3,1,2026-02-04 07:00:00,43,0.4469935592138796,0.9823827220520833,1.0621009363532579
XGBoost,3,1,2026-02-04 08:00:00,46,0.6583256836674637,1.7724463606918555,1.7163868441403027
XGBoost,3,1,2026-02-04 09:00:00,46,0.3523654661316803,0.6682362269758161,0.5619978954370612
XGBoost,3,1,2026-02-04 10:00:00,34,0.47424832512350645,0.8525510684331175,0.6842352860359439
XGBoost,3,1,2026-02-04 11:00:00,46,0.5399921251379923,0.8610380536930821,0.8493098578465531
XGBoost,3,1,2026-02-04 12:00:00,36,0.44933170742458767,0.9035974782902381,0.7846593108289742
XGBoost,3,1,2026-02-04 13:00:00,34,0.5851932226442823,1.1239514876234984,0.8015531870397449
XGBoost,3,1,2026-02-04 14:00:00,34,0.42453152525658705,0.7495222536625427,0.6998199887620942
XGBoost,3,1,2026-02-04 15:00:00,35,0.6570513407389322,1.244829192504252,1.2086221836610733
XGBoost,3,1,2026-02-04 16:00:00,34,0.5556709439146752,0.880954761443123,0.7255502949713424
XGBoost,3,1,2026-02-04 17:00:00,47,0.8211038197185977,1.7403382123826436,1.7260518808560839
XGBoost,3,1,2026-02-04 18:00:00,35,1.027160426548549,2.015106104505137,1.2435640619244188
XGBoost,3,1,2026-02-04 19:00:00,46,1.7915624996314299,2.4840263623298875,2.0367793147897477
XGBoost,3,1,2026-02-04 20:00:00,43,1.4936657494044738,2.378686077471206,2.0286875575902252
XGBoost,3,1,2026-02-04 21:00:00,45,0.663565006962529,1.1132655312113073,0.8001185377769344
XGBoost,3,1,2026-02-04 22:00:00,34,0.5060621897379558,0.8712342076494688,0.6287655407394523
XGBoost,3,1,2026-02-04 23:00:00,47,0.3907007799080923,1.2192577248651393,0.6641863303373683
XGBoost,3,1,2026-02-05 00:00:00,46,0.10805530824523037,0.20534163948950837,0.13354086643192092
XGBoost,3,1,2026-02-05 01:00:00,33,0.2181380686133799,0.458623655783483,0.303598294314082
XGBoost,3,1,2026-02-05 02:00:00,45,0.11379035667136864,0.18662235496191978,0.1388325183611571
XGBoost,3,1,2026-02-05 03:00:00,47,0.08351327341499058,0.1246728014152261,0.09969695207531254
XGBoost,3,1,2026-02-05 04:00:00,46,0.3556363202523494,0.9620594127091902,0.5555054487708777
XGBoost,3,1,2026-02-05 05:00:00,48,1.2630042235056558,2.4576779014947987,2.138061833615019
XGBoost,3,1,2026-02-05 06:00:00,34,0.4920936659270641,1.0413276227084052,1.26497789821217
XGBoost,3,1,2026-02-05 07:00:00,47,0.3106368856227143,0.595470542044741,0.4928767305629691
XGBoost,3,1,2026-02-05 08:00:00,34,1.3298155840705423,2.7620494353306544,1.4865313174432435
XGBoost,3,1,2026-02-05 09:00:00,49,0.5096084439024635,0.8506294085940338,0.8197334821633062
XGBoost,3,1,2026-02-05 10:00:00,46,2.79638904073964,5.608941930057418,3.757988775357046
XGBoost,3,1,2026-02-05 11:00:00,35,0.6515104384649367,1.1195909808513642,0.8323481308611518
XGBoost,3,1,2026-02-05 12:00:00,49,0.5571323057421209,1.0494825644727375,0.9068364617411481
XGBoost,3,1,2026-02-05 13:00:00,35,0.39611602056594125,0.8032882534419401,0.8221884846766248
XGBoost,3,1,2026-02-05 14:00:00,35,0.36049811953590033,0.8710785869836744,0.5063328153597357
